Author_clean,nb_downl,nb_pages,Students,nb_works,h_index,nb_cit,vn_award,clark,nobel,top10_shangai_yn,usa_yn,descri_len,len_work
Robert John,554,1934,1.0,165,21,2883,0,0,0,0,0,4.0,12.0
Duncan Thomas,552,889,1.0,129,28,3688,0,0,0,0,1,11.0,7.0
Edmund S. Phelps,551,1499,0.5,164,21,2675,0,0,1,1,1,19.0,9.0
Richard T. Carson,546,858,4.0,119,25,2606,0,0,0,0,1,15.0,7.0
Martin James,544,1462,1.5,188,31,4508,0,0,0,0,0,11.0,8.0
Marc Hallin,534,1086,2.0,321,15,2341,0,0,0,0,0,25.0,3.0
Kyle Bagwell,533,1667,1.0,181,25,2746,0,0,0,1,1,10.0,9.0
Matthew D. Shapiro,530,808,4.5,158,30,3585,0,0,0,0,1,12.0,5.0
Shelly J,528,775,1.0,121,26,2772,0,0,0,0,1,15.0,6.0
Pierre Chiappori,527,1832,1.5,216,32,5049,0,0,0,1,1,18.0,8.0
Xavier Vives,526,4559,1.5,379,30,4471,0,0,0,0,0,10.0,12.0
Miguel Leon-Ledesma,525,843,4.5,135,17,1105,0,0,0,0,0,11.0,6.0
Andre Sapir,525,950,2.0,346,20,1552,0,0,0,0,0,27.0,3.0
Fabio Schiantarelli,524,870,9.5,152,26,2487,0,0,0,0,1,11.0,6.0
Kevin Lang,520,1008,19.5,132,27,2389,0,0,0,0,1,10.0,8.0
Ben Lockwood,516,1132,3.5,211,23,2129,0,0,0,0,0,11.0,5.0
Jan Willem,515,886,2.5,124,17,1303,0,0,0,0,0,16.0,7.0
Thomas K. Bauer,511,776,13.0,215,24,1639,0,0,0,0,0,10.0,4.0
Claudia M. Buch,510,1631,1.5,300,23,1938,0,0,0,0,0,7.0,5.0
Cristiano Antonelli,509,1913,1.0,293,18,1036,0,0,0,0,0,26.0,7.0
Andrew Keith,507,1290,1.0,180,23,1322,0,0,0,0,0,23.0,7.0
John M. Quigley,506,1795,1.0,290,32,3642,0,0,0,0,0,4.0,6.0
Thomas F. Crossley,506,913,1.5,221,16,1192,0,0,0,0,0,11.0,4.0
Andrew Granger,504,785,2.5,134,24,2451,0,0,0,0,1,15.0,6.0
Eric Maurin,489,1071,4.0,209,22,1193,0,0,0,0,0,8.0,5.0
Simon Burgess,483,1177,4.0,215,22,1878,0,0,0,0,0,32.0,5.0
Jean-Marc Robin,483,1381,4.5,250,22,1853,0,0,0,0,0,11.0,6.0
David Zilberman,483,3024,3.5,431,30,3715,0,0,0,1,1,14.0,7.0
Masahisa Fujita,479,1509,1.0,144,23,2935,0,0,0,0,0,10.0,10.0
Catherine C,478,1191,3.0,122,25,3441,0,0,0,0,1,13.0,10.0
Raymond J.G.M. Florax,478,1028,6.5,183,18,1866,0,0,0,0,0,4.0,6.0
Neil Shephard,477,1336,1.0,198,29,6108,0,0,0,1,1,10.0,7.0
Francis Bloch,475,961,4.0,191,17,1162,0,0,0,0,0,8.0,5.0
Donald S. Siegel,475,1326,1.0,135,33,4401,0,0,0,0,1,13.0,10.0
Randolph Preston,474,1396,2.0,131,31,3679,0,0,0,0,0,3.0,11.0
Hans-Werner Sinn ifo,474,6365,4.0,641,31,3296,0,0,0,0,0,15.0,10.0
Ronald Demos,473,1006,1.0,117,19,1551,0,0,0,1,1,18.0,9.0
Sir David,473,1792,2.5,182,31,3765,0,0,0,0,0,21.0,10.0
Arthur Herman Otto,469,1686,2.0,369,29,3093,0,0,0,0,0,16.0,5.0
Alain Monfort,469,1844,1.0,172,19,2385,0,0,0,0,0,12.0,11.0
Siem Jan,469,1751,2.0,241,25,2992,0,0,0,0,0,18.0,7.0
Frank Alan,469,1060,2.0,223,24,1996,0,0,0,1,0,22.0,5.0
Kai A. Konrad,467,2043,1.0,432,23,2494,0,0,0,0,0,12.0,5.0
Jorg Breitung,465,823,1.0,126,18,1516,0,0,0,0,0,12.0,7.0
Robert J. Gordon,464,1810,0.5,233,31,3406,0,0,0,0,1,11.0,8.0
Bruce D. Smith,463,2656,3.5,190,30,3280,0,0,0,0,0,4.0,14.0
Paul W. Miller,460,2009,0.5,213,22,1811,0,0,1,0,1,16.0,9.0
Anne Case,457,879,0.5,162,32,5668,0,0,0,1,1,24.0,5.0
Richard David,454,825,3.5,161,16,1718,0,0,0,0,0,13.0,5.0
Mikhail Golosov,454,763,1.0,117,18,1515,0,0,0,1,1,11.0,7.0
Eric Baird,451,826,1.0,113,15,1187,0,0,0,0,0,13.0,7.0
Arvind Panagariya,449,1531,3.0,167,18,1273,0,0,0,1,1,17.0,9.0
Robert W. Staiger,448,1752,15.0,197,22,2119,0,0,0,0,1,11.0,9.0
Dilip Mookherjee,447,2129,1.0,207,30,2946,0,0,0,0,1,14.0,10.0
Giuseppe Bertola,443,2416,1.5,259,27,3415,0,0,0,0,0,17.0,9.0
Maureen L. Cropper,442,995,1.0,135,25,2705,0,0,0,0,1,22.0,7.0
Shyam Sunder,441,1395,1.0,198,19,1698,0,0,0,1,1,11.0,7.0
Marco Francesconi,440,1122,1.0,155,20,1586,0,0,0,0,0,10.0,7.0
Massimo Marinacci,439,1624,1.0,172,23,2516,0,0,0,0,0,25.0,9.0
Jean Gabszewicz,436,1025,2.0,314,16,2353,0,0,0,0,0,27.0,3.0
Russell Cooper,435,1260,2.0,220,30,3320,0,0,0,0,1,12.0,6.0
Alan Kirman,435,1286,2.5,164,21,1990,0,0,0,0,0,19.0,8.0
Jean-Yves Duclos,433,1336,1.0,231,17,1460,0,0,0,0,0,23.0,6.0
Aman Ullah,432,1086,3.0,170,16,1372,0,0,0,0,1,11.0,6.0
George J. Mailath,430,1299,9.0,247,23,2728,0,0,0,0,1,12.0,5.0
Joachim Klaus,427,857,1.5,246,19,1329,0,0,0,0,0,9.0,3.0
Kamal Saggi,426,1437,1.0,171,22,1809,0,0,0,0,1,10.0,8.0
Giacomo Corneo,424,1063,2.0,150,21,1404,0,0,0,0,0,11.0,7.0
Klaus M. Schmidt,422,856,1.0,192,25,4833,0,0,0,0,0,9.0,4.0
John Addison,421,2337,1.5,307,22,1815,0,0,0,0,1,17.0,8.0
Eric S. Maskin,421,1411,45.5,195,43,7515,0,0,1,1,1,11.0,7.0
Martin Sefton,420,946,2.0,143,21,1976,0,0,0,0,0,27.0,7.0
Arie Kapteyn,419,1369,0.5,264,23,1995,0,0,0,0,1,13.0,5.0
Stephen D. Williamson,419,1325,11.5,130,19,1580,0,0,0,0,0,12.0,10.0
Robert M. Townsend,418,1744,9.0,147,27,4154,0,0,0,1,1,21.0,12.0
Jean-Paul Chavas,417,2731,1.0,326,25,2229,0,0,0,0,1,14.0,8.0
Alberto Bisin C.V.,415,1029,1.0,141,21,2218,0,0,0,1,1,29.0,7.0
Christopher R. Knittel,415,1039,2.0,128,20,1650,0,0,0,1,1,15.0,8.0
Timothy Cason,412,1717,7.0,160,28,2327,0,0,0,0,1,15.0,11.0
Olivier Bargain,412,1316,1.5,258,16,1095,0,0,0,0,0,17.0,5.0
Michael R. Wickens,405,881,1.0,158,17,924,0,0,0,0,0,15.0,6.0
J. Edward Taylor,403,1008,0.5,137,20,1868,0,0,0,0,1,15.0,7.0
Les Oxley,402,1974,1.0,233,19,1197,0,0,0,0,0,14.0,8.0
Jorgen W. Weibull,401,919,1.0,179,20,2218,0,0,0,0,0,11.0,5.0
Gerrit Cornelis,398,1767,1.0,402,16,1048,0,0,0,0,0,12.0,4.0
Jean-Pierre Danthine,397,774,2.0,155,20,1189,0,0,0,0,0,8.0,5.0
Ian Walker,392,1070,2.0,189,23,2017,0,0,0,0,0,18.0,6.0
Thomas F. Cooley,389,1254,2.0,155,25,2533,0,0,0,1,1,19.0,8.0
Michael Mercier,386,1242,2.5,217,22,1936,0,0,0,0,1,14.0,6.0
Dan Bernhardt,385,2100,11.0,147,16,1011,0,0,0,0,0,21.0,14.0
Martin Gaynor H.,385,891,4.0,114,19,1136,0,0,0,0,1,18.0,8.0
Dimitri Vayanos,382,1050,0.5,127,20,1977,0,0,0,1,0,12.0,8.0
Cees Withagen,382,1229,0.5,168,19,1050,0,0,0,0,0,14.0,7.0
Reinhard Selten,379,1265,3.5,159,25,2476,0,0,1,0,0,16.0,8.0
Sandra Poncet,374,829,1.0,226,16,1142,0,0,0,0,0,16.0,4.0
Satyajit Chatterjee,371,779,0.5,138,16,1269,0,0,0,0,1,12.0,6.0
Franco Peracchi,369,953,12.0,148,15,1024,0,0,0,0,1,11.0,6.0
George William,367,1633,6.0,273,26,2234,0,0,0,0,1,12.0,6.0
Sourafel Girma,363,1197,0.5,150,25,2091,0,0,0,0,0,11.0,8.0
Thomas R. Palfrey,360,1995,1.0,247,31,3725,0,0,0,0,1,14.0,8.0
