Author_clean,nb_downl,nb_pages,Students,nb_works,h_index,nb_cit,vn_award,clark,nobel,top10_shangai_yn,usa_yn,descri_len,len_work
Axel Dreher,1656,1969,7.0,399,33,4108,0,0,0,0,0,14.0,5.0
Ansgar Belke,1656,3783,1.0,554,20,1520,0,0,0,0,0,9.0,7.0
Clemens Fuest ifo,1635,2784,6.5,425,22,1682,0,0,0,0,0,15.0,7.0
Zvi Griliches,1634,1175,5.5,185,46,11299,0,1,0,0,0,3.0,6.0
Giancarlo Corsetti,1624,4146,2.5,427,33,4726,0,0,0,0,0,11.0,10.0
Luigi Zingales,1620,1609,0.5,245,43,13203,0,0,0,1,1,12.0,7.0
Jacques Fran̤ois Thisse,1616,3370,2.5,779,43,6750,0,0,0,0,0,23.0,4.0
Angus S. Deaton,1598,1924,4.5,302,53,12367,0,0,1,0,1,20.0,6.0
Hillel Rapoport,1589,1266,2.5,316,23,2947,0,0,0,0,0,8.0,4.0
Niklas Potrafke ifo,1588,1903,1.0,354,20,1150,0,0,0,0,0,15.0,5.0
Peter Nijkamp,1582,6967,9.5,1320,31,4415,0,0,0,0,0,15.0,5.0
Robert M. Solow,1573,1090,11.0,149,24,5823,0,1,1,1,1,13.0,7.0
Richard Rogerson,1561,1510,6.5,211,38,5806,0,0,0,1,1,11.0,7.0
John Y. Campbell,1535,2566,13.5,363,60,18709,0,0,0,1,1,11.0,7.0
Milton Friedman,1531,877,5.5,213,27,6094,0,1,1,1,1,16.0,4.0
Heng-Fu Zou,1528,1680,12.0,274,21,3225,0,0,0,0,0,16.0,6.0
J. Vernon Henderson,1527,1928,6.5,185,39,5849,0,0,0,1,0,16.0,10.0
Guido Tabellini,1526,1638,1.0,307,47,9298,0,0,0,0,0,15.0,5.0
Gary Koop,1517,2126,1.0,334,29,4505,0,0,0,0,0,10.0,6.0
Marco Vivarelli,1503,1267,16.0,242,25,2084,0,0,0,0,0,18.0,5.0
Yves Zenou,1497,2742,0.5,510,30,3040,0,0,0,0,0,12.0,5.0
Halbert White,1483,2286,4.5,194,36,10924,0,0,0,0,0,3.0,12.0
Robert C. Feenstra,1475,1632,3.5,285,42,8535,0,0,0,0,1,11.0,6.0
Adrian Rodney,1475,1428,4.5,193,33,7193,0,0,0,0,0,17.0,7.0
Francis X. Diebold,1463,1413,18.0,370,54,15736,0,0,0,0,1,12.0,4.0
Daniel Hamermesh,1453,1799,2.5,348,32,3873,0,0,0,0,0,9.0,5.0
Alan S. Blinder,1445,1921,4.5,205,35,5726,0,0,0,1,1,26.0,9.0
Daniel L. McFadden,1441,1170,5.0,174,33,5996,0,1,0,1,1,28.0,7.0
James Hamilton,1424,1374,17.0,141,41,12032,0,0,0,0,1,14.0,10.0
Gordon Hanson,1406,1420,1.5,197,40,7579,0,0,0,1,1,11.0,7.0
Richard B. Freeman,1380,2208,2.0,502,43,6367,0,0,0,1,1,24.0,4.0
Frederick (Rick),1372,2580,2.5,423,26,3020,0,0,0,0,0,29.0,6.0
Andrew J. Oswald,1368,1535,3.0,362,43,10602,0,0,0,0,0,18.0,4.0
Frank Schorfheide,1361,1008,4.0,185,30,4397,0,0,0,0,1,11.0,5.0
Sergio T,1361,1272,0.5,212,40,9622,0,0,0,0,0,12.0,6.0
